,cue,association,explanation,relation,source
6995,beautiful,pretty,beautiful has a similar meaning as pretty.,synonym,fillin
6996,beautiful,great,beautiful has a similar meaning as great.,synonym,fillin
6997,beautiful,good,beautiful has a similar meaning as good,synonym,fillin
6998,beautiful,bad,beautiful has a similar meaning as bad,synonym,fillin
6999,beautiful,sweet,beautiful has a similar meaning as sweet,synonym,fillin
7000,beautiful,lovely,beautiful has a similar meaning as lovely,synonym,fillin
7001,beautiful,pretty,beautiful has a similar meaning as pretty,synonym,fillin
7002,beautiful,dear,beautiful has a similar meaning as dear,synonym,fillin
7003,beautiful,perfect,beautiful has a similar meaning as perfect,synonym,fillin
7004,beautiful,plain,beautiful has a similar meaning as plain,synonym,fillin
7005,bedrooms,bed,bedrooms have a bed for you to sleep in.,partof,fillin
7006,bedrooms,room,bedrooms have a room for you to sleep in.,partof,fillin
7007,bedrooms,closet,bedrooms have a closet for you to sleep in.,partof,fillin
7008,bedrooms,fireplace,bedrooms have a fireplace for you to sleep in.,partof,fillin
7009,bedrooms,mattress,bedrooms have a mattress for you to sleep in.,partof,fillin
7010,bedrooms,bedroom,bedrooms have a bedroom for you to sleep in.,partof,fillin
7011,bedrooms,couch,bedrooms have a couch for you to sleep in.,partof,fillin
7012,bedrooms,bathroom,bedrooms have a bathroom for you to sleep in.,partof,fillin
7013,bedrooms,window,bedrooms have a window for you to sleep in.,partof,fillin
7014,bedrooms,bath,bedrooms have a bath for you to sleep in.,partof,fillin
7015,bedrooms,bed,bedrooms have a bed for you to sleep in,partof,fillin
7016,bedrooms,room,bedrooms have a room for you to sleep in,partof,fillin
7017,bedrooms,space,bedrooms have a space for you to sleep in,partof,fillin
7018,bedrooms,place,bedrooms have a place for you to sleep in,partof,fillin
7019,bedrooms,door,bedrooms have a door for you to sleep in,partof,fillin
7020,bedrooms,window,bedrooms have a window for you to sleep in,partof,fillin
7021,bedrooms,wall,bedrooms have a wall for you to sleep in,partof,fillin
7022,bedrooms,bedroom,bedrooms have a bedroom for you to sleep in,partof,fillin
7023,bedrooms,hole,bedrooms have a hole for you to sleep in,partof,fillin
7024,bedrooms,mattress,bedrooms have a mattress for you to sleep in,partof,fillin
7025,bedroom,bed,i went to my bedroom to lay on my bed.,partof,fillin
7026,bedroom,stomach,i went to my bedroom to lay on my stomach.,partof,fillin
7027,bedroom,couch,i went to my bedroom to lay on my couch.,partof,fillin
7028,bedroom,mattress,i went to my bedroom to lay on my mattress.,partof,fillin
7029,bedroom,pillow,i went to my bedroom to lay on my pillow.,partof,fillin
7030,bedroom,cot,i went to my bedroom to lay on my cot.,partof,fillin
7031,bedroom,sofa,i went to my bedroom to lay on my sofa.,partof,fillin
7032,bedroom,bed,i went to my bedroom to lay on my bed,partof,fillin
7033,bedroom,stomach,i went to my bedroom to lay on my stomach,partof,fillin
7034,bedroom,belly,i went to my bedroom to lay on my belly,partof,fillin
7035,bedroom,chest,i went to my bedroom to lay on my chest,partof,fillin
7036,bedroom,couch,i went to my bedroom to lay on my couch,partof,fillin
7037,bedroom,mattress,i went to my bedroom to lay on my mattress,partof,fillin
7038,bedroom,pillow,i went to my bedroom to lay on my pillow,partof,fillin
7039,bedroom,face,i went to my bedroom to lay on my face,partof,fillin
7040,beginning,end,the opposite of beginning is end.,antonym,fillin
7041,beginning,ending,the opposite of beginning is ending.,antonym,fillin
7042,beginning,ends,the opposite of beginning is ends.,antonym,fillin
7043,beginning,ended,the opposite of beginning is ended.,antonym,fillin
7044,beginning,death,the opposite of beginning is death.,antonym,fillin
7045,beginning,completion,the opposite of beginning is completion.,antonym,fillin
7046,beginning,infinity,the opposite of beginning is infinity.,antonym,fillin
7047,beginning,time,the opposite of beginning is time.,antonym,fillin
7048,beginning,endings,the opposite of beginning is endings.,antonym,fillin
7049,beginning,end,the opposite of beginning is end,antonym,fillin
7050,beginning,ending,the opposite of beginning is ending,antonym,fillin
7051,beginning,ends,the opposite of beginning is ends,antonym,fillin
7052,beginning,ended,the opposite of beginning is ended,antonym,fillin
7053,beginning,endings,the opposite of beginning is endings,antonym,fillin
7054,beginning,zero,the opposite of beginning is zero,antonym,fillin
7055,beginning,past,the opposite of beginning is past,antonym,fillin
7056,beginning,final,the opposite of beginning is final,antonym,fillin
7057,beginning,infinity,the opposite of beginning is infinity,antonym,fillin
7058,believable,real,believable has a similar meaning as real.,synonym,fillin
7059,believable,genuine,believable has a similar meaning as genuine.,synonym,fillin
7060,believable,authentic,believable has a similar meaning as authentic.,synonym,fillin
7061,believable,plausible,believable has a similar meaning as plausible.,synonym,fillin
7062,believable,good,believable has a similar meaning as good.,synonym,fillin
7063,believable,possible,believable has a similar meaning as possible.,synonym,fillin
7064,believable,convincing,believable has a similar meaning as convincing.,synonym,fillin
7065,believable,true,believable has a similar meaning as true.,synonym,fillin
7066,believable,real,believable has a similar meaning as real,synonym,fillin
7067,believable,good,believable has a similar meaning as good,synonym,fillin
7068,believable,possible,believable has a similar meaning as possible,synonym,fillin
7069,believable,true,believable has a similar meaning as true,synonym,fillin
7070,believable,honest,believable has a similar meaning as honest,synonym,fillin
7071,believable,perfect,believable has a similar meaning as perfect,synonym,fillin
7072,believable,genuine,believable has a similar meaning as genuine,synonym,fillin
7073,believable,popular,believable has a similar meaning as popular,synonym,fillin
7074,believable,beautiful,believable has a similar meaning as beautiful,synonym,fillin
7075,belong,right,belong is also defined to the right.,synonym,fillin
7076,belong,left,belong is also defined to the left.,synonym,fillin
7077,belong,surface,belong is also defined to the surface.,synonym,fillin
7078,belong,limit,belong is also defined to the limit.,synonym,fillin
7079,belong,form,belong is also defined to the form.,synonym,fillin
7080,belong,case,belong is also defined to the case.,synonym,fillin
7081,belong,body,belong is also defined to the body.,synonym,fillin
7082,belong,center,belong is also defined to the center.,synonym,fillin
7083,belong,point,belong is also defined to the point.,synonym,fillin
7084,belong,right,belong is also defined to the right,synonym,fillin
7085,belong,left,belong is also defined to the left,synonym,fillin
7086,belong,opposite,belong is also defined to the opposite,synonym,fillin
7087,belong,case,belong is also defined to the case,synonym,fillin
7088,belong,following,belong is also defined to the following,synonym,fillin
7089,belong,complement,belong is also defined to the complement,synonym,fillin
7090,beret,hat,a beret is a type of hat.,category-exemplar-pairs,fillin
7091,beret,cap,a beret is a type of cap.,category-exemplar-pairs,fillin
7092,beret,costume,a beret is a type of costume.,category-exemplar-pairs,fillin
7093,beret,helmet,a beret is a type of helmet.,category-exemplar-pairs,fillin
7094,beret,uniform,a beret is a type of uniform.,category-exemplar-pairs,fillin
7095,beret,bonnet,a beret is a type of bonnet.,category-exemplar-pairs,fillin
7096,beret,mask,a beret is a type of mask.,category-exemplar-pairs,fillin
7097,beret,scarf,a beret is a type of scarf.,category-exemplar-pairs,fillin
7098,beret,wig,a beret is a type of wig.,category-exemplar-pairs,fillin
7099,beret,clothing,a beret is a type of clothing.,category-exemplar-pairs,fillin
7100,beret,hat,a beret is a type of hat,category-exemplar-pairs,fillin
7101,beret,mask,a beret is a type of mask,category-exemplar-pairs,fillin
7102,beret,symbol,a beret is a type of symbol,category-exemplar-pairs,fillin
7103,beret,cap,a beret is a type of cap,category-exemplar-pairs,fillin
7104,beret,flag,a beret is a type of flag,category-exemplar-pairs,fillin
7105,beret,cell,a beret is a type of cell,category-exemplar-pairs,fillin
7106,beret,lens,a beret is a type of lens,category-exemplar-pairs,fillin
7107,beret,knot,a beret is a type of knot,category-exemplar-pairs,fillin
7108,beret,object,a beret is a type of object,category-exemplar-pairs,fillin
7109,beret,triangle,a beret is a type of triangle,category-exemplar-pairs,fillin
7110,bicycle,wheels,a bicycle has two wheels.,partof,fillin
7111,bicycle,legs,a bicycle has two legs.,partof,fillin
7112,bicycle,lanes,a bicycle has two lanes.,partof,fillin
7113,bicycle,parts,a bicycle has two parts.,partof,fillin
7114,bicycle,gears,a bicycle has two gears.,partof,fillin
7115,bicycle,poles,a bicycle has two poles.,partof,fillin
7116,bicycle,stages,a bicycle has two stages.,partof,fillin
7117,bicycle,tires,a bicycle has two tires.,partof,fillin
7118,bicycle,components,a bicycle has two components.,partof,fillin
7119,bicycle,handles,a bicycle has two handles.,partof,fillin
7120,bicycle,wheels,a bicycle has two wheels,partof,fillin
7121,bicycle,legs,a bicycle has two legs,partof,fillin
7122,bicycle,parts,a bicycle has two parts,partof,fillin
7123,bicycle,components,a bicycle has two components,partof,fillin
7124,bicycle,tires,a bicycle has two tires,partof,fillin
7125,bicycle,riders,a bicycle has two riders,partof,fillin
7126,bicycle,gears,a bicycle has two gears,partof,fillin
7127,bicycle,poles,a bicycle has two poles,partof,fillin
7128,bicycle,passengers,a bicycle has two passengers,partof,fillin
7129,bicycle,members,a bicycle has two members,partof,fillin
7130,bicycle,riding,i last week bicycle riding with my friends,function,fillin
7131,bicycle,rode,i last week bicycle rode with my friends,function,fillin
7132,bicycle,ride,i last week bicycle ride with my friends,function,fillin
7133,bicycle,shopping,i last week bicycle shopping with my friends,function,fillin
7134,bicycle,walking,i last week bicycle walking with my friends,function,fillin
7135,bicycle,walked,i last week bicycle walked with my friends,function,fillin
7136,bicycle,rides,i last week bicycle rides with my friends,function,fillin
7137,bicycle,racing,i last week bicycle racing with my friends,function,fillin
7138,bicycle,traveled,i last week bicycle traveled with my friends,function,fillin
7139,bicycle,walk,you can take your bicycle for a walk,function,fillin
7140,bicycle,ride,you can take your bicycle for a ride,function,fillin
7141,bicycle,tour,you can take your bicycle for a tour,function,fillin
7142,bicycle,trip,you can take your bicycle for a trip,function,fillin
7143,bicycle,journey,you can take your bicycle for a journey,function,fillin
7144,bicycle,change,you can take your bicycle for a change,function,fillin
7145,bicycle,reason,you can take your bicycle for a reason,function,fillin
7146,bicycle,distance,you can take your bicycle for a distance,function,fillin
7147,bicycle,drive,you can take your bicycle for a drive,function,fillin
7148,bicycle,day,you can take your bicycle for a day,function,fillin
